relative_path,n_obs,n_vars,n_unique_DLC,has_DLC_code,has_labels,has_meta,label_like_columns,obs_columns,obsm_keys,layer_names,uns_keys,inferred_content,stage,panel,usefulness_notes
s_tme_seurat.h5ad,576,34,,False,False,False,seurat_cluster|seurat_clusters,ID|Protein_snn_res.0.8|Protein_snn_res.1|Protein_snn_res.1.2|nCount_Protein|nFeature_Protein|orig.ident|seurat_cluster|seurat_clusters,X_pca|X_tsne,,neighbors,TME (tumor microenvironment) merged Seurat object,TME_merged,TME,has_celltype_or_labels
stroma_1_preprocessing/S1_seurat_SO.h5ad,1805785,48,,False,False,False,seurat_clusters,Protein_snn_res.1.2|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Stromal panel (S1): Full Seurat object,stroma_preprocessing,stromal,has_celltype_or_labels
stroma_1_preprocessing/S1_seurat_bcell.h5ad,800537,48,,False,False,True,meta|recluster|seurat_clusters,Protein_snn_res.0.5|Protein_snn_res.0.8|Protein_snn_res.1.2|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Stromal panel (S1): Seurat object (B-cell subset),stroma_preprocessing,stromal,has_celltype_or_labels
stroma_1_preprocessing/S1_seurat_myeloid.h5ad,470349,31,,False,True,True,labels|meta|seurat_clusters,H3|Protein_snn_res.1|Protein_snn_res.1.2|full_index|labels|meta|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Stromal panel (S1): Seurat object (myeloid subset),stroma_preprocessing,stromal,has_celltype_or_labels
stroma_1_preprocessing/S1_seurat_myeloid2.h5ad,354388,31,,False,True,True,labels|meta|recluster|seurat_clusters,H3|Protein_snn_res.0.6|Protein_snn_res.0.8|Protein_snn_res.1|Protein_snn_res.1.2|full_index|labels|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Stromal panel (S1): Seurat object (myeloid subset),stroma_preprocessing,stromal,has_celltype_or_labels
stroma_1_preprocessing/S1_seurat_other.h5ad,142034,48,,False,False,True,meta|recluster|seurat_clusters,Protein_snn_res.0.6|Protein_snn_res.1.2|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Stromal panel (S1): Seurat object (other subset),stroma_preprocessing,stromal,has_celltype_or_labels
stroma_1_preprocessing/S1_seurat_other2.h5ad,47667,31,,False,True,True,labels|meta|recluster|seurat_clusters,H3|Protein_snn_res.1|Protein_snn_res.1.2|full_index|labels|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,,Stromal panel (S1): Seurat object (other subset),stroma_preprocessing,stromal,has_celltype_or_labels
stroma_1_preprocessing/S1_seurat_stroma.h5ad,159252,48,,False,False,True,meta|recluster|seurat_clusters,Protein_snn_res.0.3|Protein_snn_res.0.5|Protein_snn_res.0.6|Protein_snn_res.1|Protein_snn_res.1.2|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Stromal panel (S1): Seurat object (stroma subset),stroma_preprocessing,stromal,has_celltype_or_labels
stroma_1_preprocessing/S1_seurat_tcell.h5ad,233613,48,,False,False,True,meta|recluster|seurat_clusters,Protein_snn_res.0.4|Protein_snn_res.0.6|Protein_snn_res.0.8|Protein_snn_res.1.2|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Stromal panel (S1): Seurat object (T-cell subset),stroma_preprocessing,stromal,has_celltype_or_labels
stroma_1_preprocessing/S1_seurat_tcell2.h5ad,68294,31,,False,True,True,labels|meta|recluster|seurat_clusters,H3|Protein_snn_res.0.2|Protein_snn_res.0.3|Protein_snn_res.1|Protein_snn_res.1.2|full_index|labels|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Stromal panel (S1): Seurat object (T-cell subset),stroma_preprocessing,stromal,has_celltype_or_labels
stroma_2_preprocessing/S1_seurat_SO.h5ad,1552303,50,,False,False,False,seurat_clusters,Protein_snn_res.1.2|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Stromal panel (S2): Full Seurat object,stroma_preprocessing,stromal,has_celltype_or_labels
stroma_2_preprocessing/S1_seurat_bcell.h5ad,595236,50,,False,False,True,meta|recluster|seurat_clusters,Protein_snn_res.0.8|Protein_snn_res.1.2|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Stromal panel (S2): Seurat object (B-cell subset),stroma_preprocessing,stromal,has_celltype_or_labels
stroma_2_preprocessing/S1_seurat_other.h5ad,350154,50,,False,False,True,meta|recluster|seurat_clusters,Protein_snn_res.0.8|Protein_snn_res.1.2|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Stromal panel (S2): Seurat object (other subset),stroma_preprocessing,stromal,has_celltype_or_labels
stroma_2_preprocessing/S1_seurat_stroma.h5ad,148780,50,,False,False,True,meta|recluster|seurat_clusters,Protein_snn_res.0.4|Protein_snn_res.0.6|Protein_snn_res.0.8|Protein_snn_res.1|Protein_snn_res.1.2|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Stromal panel (S2): Seurat object (stroma subset),stroma_preprocessing,stromal,has_celltype_or_labels
stroma_2_preprocessing/S1_seurat_tcell.h5ad,201059,50,,False,False,True,meta|recluster|seurat_clusters,Protein_snn_res.0.6|Protein_snn_res.0.8|Protein_snn_res.1|Protein_snn_res.1.2|Protein_snn_res.1.3|Protein_snn_res.1.4|Protein_snn_res.1.5|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Stromal panel (S2): Seurat object (T-cell subset),stroma_preprocessing,stromal,has_celltype_or_labels
stroma_merged/SO2_seurat_bcell.h5ad,1171875,13,,False,False,True,meta|recluster|seurat_clusters|sub.cluster,H3|Protein_snn_res.0.1|Protein_snn_res.0.15|Protein_snn_res.0.2|Protein_snn_res.0.3|Protein_snn_res.0.5|Protein_snn_res.0.6|Protein_snn_res.0.8|Protein_snn_res.1.2|batch|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters|sub.cluster,X_pca,,neighbors,Stromal merged: Seurat object (B-cell subset),merged,stromal,merged_downstream; has_celltype_or_labels
stroma_merged/SO3_seurat_bcell.h5ad,1171875,13,,False,False,True,meta|recluster|seurat_clusters,H3|Protein_snn_res.0.1|Protein_snn_res.0.2|Protein_snn_res.0.3|Protein_snn_res.0.5|Protein_snn_res.0.6|Protein_snn_res.0.8|Protein_snn_res.1.2|batch|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Stromal merged: Seurat object (B-cell subset),merged,stromal,merged_downstream; has_celltype_or_labels
stroma_merged/other_seurat_bcell.h5ad,223898,10,,False,False,True,meta|recluster|seurat_clusters,H3|Protein_snn_res.0.1|Protein_snn_res.0.2|Protein_snn_res.0.3|Protein_snn_res.0.5|Protein_snn_res.0.6|Protein_snn_res.0.8|Protein_snn_res.1.2|batch|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,,Stromal merged: Seurat object (B-cell subset),merged,stromal,merged_downstream; has_celltype_or_labels
stroma_spatial/SO_k30_community_cluster.h5ad,1650515,25,,False,False,False,cluster|recluster|seurat_clusters,Protein_snn_res.0.4|TME|cluster|community|full-index|major_group|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Stromal spatial: Seurat object (k=30 community clustering),spatial,stromal,has_celltype_or_labels; spatial_clustering
tcell_1_preprocessing/t1_SO_seurat.h5ad,1596223,46,,False,False,False,seurat_clusters,Protein_snn_res.1.2|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Immune panel (T1): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_1_preprocessing/t1_bcell_seurat.h5ad,698168,46,,False,False,False,seurat_clusters,Protein_snn_res.0.6|Protein_snn_res.0.8|Protein_snn_res.1.2|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Immune panel (T1): Seurat object (B-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_1_preprocessing/t1_myeloid_seurat.h5ad,192291,46,,False,False,False,seurat_clusters,Protein_snn_res.0.6|Protein_snn_res.0.8|Protein_snn_res.1.2|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Immune panel (T1): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_1_preprocessing/t1_other_seurat.h5ad,208623,46,,False,False,False,seurat_clusters,Protein_snn_res.0.8|Protein_snn_res.1.2|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Immune panel (T1): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_1_preprocessing/t1_seurat_SO.h5ad,1596223,46,,False,True,True,labels|meta|seurat_clusters,Protein_snn_res.1|Protein_snn_res.1.2|full_index|labels|meta|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Immune panel (T1): Full Seurat object,tcell_preprocessing,immune,has_celltype_or_labels
tcell_1_preprocessing/t1_seurat_SO2.h5ad,1588602,33,,False,False,False,seurat_clusters,Protein_snn_res.1|Protein_snn_res.1.2|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Immune panel (T1): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_1_preprocessing/t1_seurat_bcell.h5ad,640228,33,,False,False,False,seurat_clusters,Protein_snn_res.1|Protein_snn_res.1.2|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,,Immune panel (T1): Seurat object (B-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_1_preprocessing/t1_seurat_myeloid.h5ad,211324,33,,False,False,True,meta|recluster|seurat_clusters,Protein_snn_res.0.3|Protein_snn_res.1|Protein_snn_res.1.2|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Immune panel (T1): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_1_preprocessing/t1_seurat_tcell.h5ad,380326,10,,False,False,True,meta|recluster|seurat_clusters,CD3|H3|Protein_snn_res.1|Protein_snn_res.1.2|Protein_snn_res.1.3|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Immune panel (T1): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_1_preprocessing/t1_stroma_seurat.h5ad,36577,46,,False,False,False,seurat_clusters,Protein_snn_res.0.8|Protein_snn_res.1.2|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Immune panel (T1): Seurat object (T-cell subset),tcell_preprocessing,stromal,has_celltype_or_labels
tcell_1_preprocessing/t1_tcell2_seurat.h5ad,436016,46,,False,False,False,seurat_clusters,Protein_snn_res.0.7|Protein_snn_res.0.8|Protein_snn_res.1|Protein_snn_res.1.2|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Immune panel (T1): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_1_preprocessing/t1_tcell_seurat.h5ad,576925,46,,False,False,False,seurat_clusters,Protein_snn_res.0.8|Protein_snn_res.1.2|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Immune panel (T1): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_2_preprocessing/1.29.23.tcell_seurat.h5ad,251020,49,,True,True,True,labels|meta|orig.labels|recluster|seurat_clusters,DLC_code|Protein_snn_res.1|Protein_snn_res.1.2|Protein_snn_res.1.5|full_index|labels|meta|nCount_Protein|nFeature_Protein|orig.ident|orig.labels|recluster|seurat_clusters,X_pca,,neighbors,Immune panel (T2): Seurat object (T-cell subset),tcell_preprocessing,immune,has_sample_code; has_celltype_or_labels
tcell_2_preprocessing/t2_SO_seurat.h5ad,1628885,49,,True,True,True,labels|meta|orig.labels|seurat_clusters,DLC_code|Protein_snn_res.1|full_index|labels|meta|nCount_Protein|nFeature_Protein|orig.ident|orig.labels|seurat_clusters,X_pca,,neighbors,Immune panel (T2): Seurat object (T-cell subset),tcell_preprocessing,immune,has_sample_code; has_celltype_or_labels
tcell_2_preprocessing/t2_bcell2_seurat.h5ad,364065,49,,False,False,True,meta|recluster|seurat_clusters,Protein_snn_res.0.8|Protein_snn_res.1|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,,Immune panel (T2): Seurat object (B-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_2_preprocessing/t2_bcell_seurat.h5ad,463078,49,,False,False,False,seurat_clusters,Protein_snn_res.0.8|Protein_snn_res.1|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Immune panel (T2): Seurat object (B-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_2_preprocessing/t2_myeloid2_seurat.h5ad,261535,14,,False,False,True,meta|recluster|seurat_clusters,H3|Protein_snn_res.0.5|Protein_snn_res.0.6|Protein_snn_res.0.8|Protein_snn_res.1|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Immune panel (T2): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_2_preprocessing/t2_myeloid_seurat.h5ad,296191,49,,False,False,False,seurat_clusters,Protein_snn_res.0.6|Protein_snn_res.0.8|Protein_snn_res.1|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Immune panel (T2): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_2_preprocessing/t2_other2_seurat.h5ad,99013,49,,False,False,True,meta|recluster|seurat_clusters,Protein_snn_res.0.8|Protein_snn_res.1|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,,Immune panel (T2): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_2_preprocessing/t2_other_seurat.h5ad,529203,49,,False,False,True,meta|recluster|seurat_clusters,Protein_snn_res.1|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,,Immune panel (T2): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_2_preprocessing/t2_seurat_bcell.h5ad,,,,True,True,True,labels|meta|recluster|seurat_clusters,DLC_code|Protein_snn_res.1|Protein_snn_res.1.2|Protein_snn_res.1.4|full_index|labels|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,,,,Immune panel (T2): Seurat object (B-cell subset),tcell_preprocessing,immune,has_sample_code; has_celltype_or_labels
tcell_2_preprocessing/t2_stroma_seurat.h5ad,42949,49,,False,False,True,meta|recluster|seurat_clusters,Protein_snn_res.1|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,,Immune panel (T2): Seurat object (T-cell subset),tcell_preprocessing,stromal,has_celltype_or_labels
tcell_2_preprocessing/t2_tcell2_seurat.h5ad,332120,12,,False,False,True,meta|recluster|seurat_clusters,CD3|H3|Protein_snn_res.0.6|Protein_snn_res.0.7|Protein_snn_res.0.8|Protein_snn_res.1|Protein_snn_res.1.2|Protein_snn_res.1.4|Protein_snn_res.1.6|full_index|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Immune panel (T2): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_2_preprocessing/t2_tcell_seurat.h5ad,297464,49,,False,False,False,seurat_clusters,CD3|H3|Protein_snn_res.0.6|Protein_snn_res.0.7|Protein_snn_res.0.8|Protein_snn_res.1|Protein_snn_res.1.2|Protein_snn_res.1.4|Protein_snn_res.1.6|full_index|nCount_Protein|nFeature_Protein|orig.ident|seurat_clusters,X_pca,,neighbors,Immune panel (T2): Seurat object (T-cell subset),tcell_preprocessing,immune,has_celltype_or_labels
tcell_merged/SO2_seurat_bcell.h5ad,979401,13,,True,True,True,labels|meta|recluster|seurat_clusters,DLC_code|H3|Protein_snn_res.0.2|Protein_snn_res.0.3|Protein_snn_res.0.4|Protein_snn_res.0.6|Protein_snn_res.1|Protein_snn_res.1.2|Protein_snn_res.1.4|batch|full_index|labels|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Immune merged: Seurat object (B-cell subset),merged,immune,merged_downstream; has_sample_code; has_celltype_or_labels
tcell_merged/SO3_seurat_bcell.h5ad,552672,15,,False,True,True,labels|meta|recluster|seurat_clusters,H3|Protein_snn_res.0.1|Protein_snn_res.0.2|Protein_snn_res.0.3|Protein_snn_res.0.5|Protein_snn_res.1|Protein_snn_res.1.2|batch|full_index|labels|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,neighbors,Immune merged: Seurat object (B-cell subset),merged,immune,merged_downstream; has_celltype_or_labels
tcell_merged/other2_seurat_bcell_panel2.h5ad,621254,15,,False,True,True,labels|meta|recluster|seurat_clusters,H3|Protein_snn_res.0.1|Protein_snn_res.0.2|Protein_snn_res.0.3|Protein_snn_res.0.5|Protein_snn_res.1|Protein_snn_res.1.2|batch|full_index|labels|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,,Immune merged: Seurat object (B-cell subset),merged,immune,merged_downstream; has_celltype_or_labels
tcell_merged/other_seurat_bcell_panel2.h5ad,64280,13,,True,True,True,labels|meta|recluster|seurat_clusters,DLC_code|H3|Protein_snn_res.0.2|Protein_snn_res.0.4|Protein_snn_res.0.6|Protein_snn_res.1|Protein_snn_res.1.2|Protein_snn_res.1.4|batch|full_index|labels|meta|nCount_Protein|nFeature_Protein|orig.ident|recluster|seurat_clusters,X_pca,,,Immune merged: Seurat object (B-cell subset),merged,immune,merged_downstream; has_sample_code; has_celltype_or_labels
